value,Units,Periods
0.0,DIESEL_4,Mon-16
0.0,GAS_1,Mon-16
0.0,GAS_2,Mon-16
165.0,GAS_3,Mon-16
158.0,GAS_4,Mon-16
400.0,COAL_1,Mon-17
489.0,COAL_2,Mon-17
90.0,DIESEL_1,Mon-17
87.0,DIESEL_2,Mon-17
0.0,DIESEL_3,Mon-17
0.0,DIESEL_4,Mon-17
0.0,GAS_1,Mon-17
0.0,GAS_2,Mon-17
165.0,GAS_3,Mon-17
158.0,GAS_4,Mon-17
400.0,COAL_1,Mon-18
463.0,COAL_2,Mon-18
90.0,DIESEL_1,Mon-18
87.0,DIESEL_2,Mon-18
0.0,DIESEL_3,Mon-18
0.0,DIESEL_4,Mon-18
0.0,GAS_1,Mon-18
0.0,GAS_2,Mon-18
165.0,GAS_3,Mon-18
158.0,GAS_4,Mon-18
400.0,COAL_1,Mon-19
450.0,COAL_2,Mon-19
90.0,DIESEL_1,Mon-19
87.0,DIESEL_2,Mon-19
0.0,DIESEL_3,Mon-19
0.0,DIESEL_4,Mon-19
0.0,GAS_1,Mon-19
0.0,GAS_2,Mon-19
165.0,GAS_3,Mon-19
158.0,GAS_4,Mon-19
400.0,COAL_1,Mon-20
457.0,COAL_2,Mon-20
90.0,DIESEL_1,Mon-20
87.0,DIESEL_2,Mon-20
0.0,DIESEL_3,Mon-20
0.0,DIESEL_4,Mon-20
0.0,GAS_1,Mon-20
0.0,GAS_2,Mon-20
165.0,GAS_3,Mon-20
158.0,GAS_4,Mon-20
400.0,COAL_1,Mon-21
469.0,COAL_2,Mon-21
72.0,DIESEL_1,Mon-21
87.0,DIESEL_2,Mon-21
0.0,DIESEL_3,Mon-21
0.0,DIESEL_4,Mon-21
0.0,GAS_1,Mon-21
0.0,GAS_2,Mon-21
165.0,GAS_3,Mon-21
158.0,GAS_4,Mon-21
400.0,COAL_1,Mon-22
471.0,COAL_2,Mon-22
48.0,DIESEL_1,Mon-22
87.0,DIESEL_2,Mon-22
0.0,DIESEL_3,Mon-22
0.0,DIESEL_4,Mon-22
0.0,GAS_1,Mon-22
0.0,GAS_2,Mon-22
165.0,GAS_3,Mon-22
158.0,GAS_4,Mon-22
400.0,COAL_1,Mon-23
472.0,COAL_2,Mon-23
24.0,DIESEL_1,Mon-23
87.0,DIESEL_2,Mon-23
0.0,DIESEL_3,Mon-23
0.0,DIESEL_4,Mon-23
0.0,GAS_1,Mon-23
0.0,GAS_2,Mon-23
165.0,GAS_3,Mon-23
158.0,GAS_4,Mon-23
400.0,COAL_1,Tue-00
479.0,COAL_2,Tue-00
0.0,DIESEL_1,Tue-00
87.0,DIESEL_2,Tue-00
0.0,DIESEL_3,Tue-00
0.0,DIESEL_4,Tue-00
0.0,GAS_1,Tue-00
0.0,GAS_2,Tue-00
165.0,GAS_3,Tue-00
158.0,GAS_4,Tue-00
400.0,COAL_1,Tue-01
467.0,COAL_2,Tue-01
0.0,DIESEL_1,Tue-01
87.0,DIESEL_2,Tue-01
0.0,DIESEL_3,Tue-01
0.0,DIESEL_4,Tue-01
0.0,GAS_1,Tue-01
0.0,GAS_2,Tue-01
165.0,GAS_3,Tue-01
158.0,GAS_4,Tue-01
400.0,COAL_1,Tue-02
454.0,COAL_2,Tue-02
0.0,DIESEL_1,Tue-02
87.0,DIESEL_2,Tue-02
0.0,DIESEL_3,Tue-02
0.0,DIESEL_4,Tue-02
0.0,GAS_1,Tue-02
0.0,GAS_2,Tue-02
165.0,GAS_3,Tue-02
158.0,GAS_4,Tue-02
400.0,COAL_1,Tue-03
445.0,COAL_2,Tue-03
0.0,DIESEL_1,Tue-03
87.0,DIESEL_2,Tue-03
0.0,DIESEL_3,Tue-03
0.0,DIESEL_4,Tue-03
0.0,GAS_1,Tue-03
0.0,GAS_2,Tue-03
165.0,GAS_3,Tue-03
158.0,GAS_4,Tue-03
400.0,COAL_1,Tue-04
447.0,COAL_2,Tue-04
0.0,DIESEL_1,Tue-04
87.0,DIESEL_2,Tue-04
0.0,DIESEL_3,Tue-04
0.0,DIESEL_4,Tue-04
0.0,GAS_1,Tue-04
0.0,GAS_2,Tue-04
165.0,GAS_3,Tue-04
158.0,GAS_4,Tue-04
400.0,COAL_1,Tue-05
475.0,COAL_2,Tue-05
0.0,DIESEL_1,Tue-05
87.0,DIESEL_2,Tue-05
0.0,DIESEL_3,Tue-05
0.0,DIESEL_4,Tue-05
0.0,GAS_1,Tue-05
0.0,GAS_2,Tue-05
165.0,GAS_3,Tue-05
158.0,GAS_4,Tue-05
400.0,COAL_1,Tue-06
518.0,COAL_2,Tue-06
0.0,DIESEL_1,Tue-06
87.0,DIESEL_2,Tue-06
0.0,DIESEL_3,Tue-06
0.0,DIESEL_4,Tue-06
0.0,GAS_1,Tue-06
0.0,GAS_2,Tue-06
165.0,GAS_3,Tue-06
158.0,GAS_4,Tue-06
400.0,COAL_1,Tue-07
551.0,COAL_2,Tue-07
0.0,DIESEL_1,Tue-07
87.0,DIESEL_2,Tue-07
0.0,DIESEL_3,Tue-07
0.0,DIESEL_4,Tue-07
0.0,GAS_1,Tue-07
0.0,GAS_2,Tue-07
165.0,GAS_3,Tue-07
158.0,GAS_4,Tue-07
400.0,COAL_1,Tue-08
584.0,COAL_2,Tue-08
0.0,DIESEL_1,Tue-08
87.0,DIESEL_2,Tue-08
0.0,DIESEL_3,Tue-08
0.0,DIESEL_4,Tue-08
0.0,GAS_1,Tue-08
0.0,GAS_2,Tue-08
165.0,GAS_3,Tue-08
158.0,GAS_4,Tue-08
400.0,COAL_1,Tue-09
600.0,COAL_2,Tue-09
0.0,DIESEL_1,Tue-09
87.0,DIESEL_2,Tue-09
0.0,DIESEL_3,Tue-09
7.0,DIESEL_4,Tue-09
0.0,GAS_1,Tue-09
0.0,GAS_2,Tue-09
165.0,GAS_3,Tue-09
158.0,GAS_4,Tue-09
400.0,COAL_1,Tue-10
574.0,COAL_2,Tue-10
0.0,DIESEL_1,Tue-10
87.0,DIESEL_2,Tue-10
0.0,DIESEL_3,Tue-10
0.0,DIESEL_4,Tue-10
0.0,GAS_1,Tue-10
52.0,GAS_2,Tue-10
165.0,GAS_3,Tue-10
158.0,GAS_4,Tue-10
400.0,COAL_1,Tue-11
578.0,COAL_2,Tue-11
0.0,DIESEL_1,Tue-11
87.0,DIESEL_2,Tue-11
0.0,DIESEL_3,Tue-11
0.0,DIESEL_4,Tue-11
0.0,GAS_1,Tue-11
52.0,GAS_2,Tue-11
165.0,GAS_3,Tue-11
158.0,GAS_4,Tue-11
400.0,COAL_1,Tue-12
570.0,COAL_2,Tue-12
0.0,DIESEL_1,Tue-12
87.0,DIESEL_2,Tue-12
0.0,DIESEL_3,Tue-12
0.0,DIESEL_4,Tue-12
0.0,GAS_1,Tue-12
52.0,GAS_2,Tue-12
165.0,GAS_3,Tue-12
158.0,GAS_4,Tue-12
400.0,COAL_1,Tue-13
572.0,COAL_2,Tue-13
0.0,DIESEL_1,Tue-13
87.0,DIESEL_2,Tue-13
0.0,DIESEL_3,Tue-13
0.0,DIESEL_4,Tue-13
0.0,GAS_1,Tue-13
52.0,GAS_2,Tue-13
165.0,GAS_3,Tue-13
158.0,GAS_4,Tue-13
400.0,COAL_1,Tue-14
570.0,COAL_2,Tue-14
0.0,DIESEL_1,Tue-14
87.0,DIESEL_2,Tue-14
0.0,DIESEL_3,Tue-14
0.0,DIESEL_4,Tue-14
0.0,GAS_1,Tue-14
52.0,GAS_2,Tue-14
165.0,GAS_3,Tue-14
158.0,GAS_4,Tue-14
400.0,COAL_1,Tue-15
600.0,COAL_2,Tue-15
0.0,DIESEL_1,Tue-15
87.0,DIESEL_2,Tue-15
0.0,DIESEL_3,Tue-15
12.0,DIESEL_4,Tue-15
0.0,GAS_1,Tue-15
0.0,GAS_2,Tue-15
165.0,GAS_3,Tue-15
158.0,GAS_4,Tue-15
400.0,COAL_1,Tue-16
597.0,COAL_2,Tue-16
0.0,DIESEL_1,Tue-16
87.0,DIESEL_2,Tue-16
0.0,DIESEL_3,Tue-16
0.0,DIESEL_4,Tue-16
0.0,GAS_1,Tue-16
0.0,GAS_2,Tue-16
165.0,GAS_3,Tue-16
158.0,GAS_4,Tue-16
400.0,COAL_1,Tue-17
576.0,COAL_2,Tue-17
0.0,DIESEL_1,Tue-17
87.0,DIESEL_2,Tue-17
0.0,DIESEL_3,Tue-17
0.0,DIESEL_4,Tue-17
0.0,GAS_1,Tue-17
0.0,GAS_2,Tue-17
165.0,GAS_3,Tue-17
158.0,GAS_4,Tue-17
400.0,COAL_1,Tue-18
554.0,COAL_2,Tue-18
0.0,DIESEL_1,Tue-18
87.0,DIESEL_2,Tue-18
0.0,DIESEL_3,Tue-18
0.0,DIESEL_4,Tue-18
0.0,GAS_1,Tue-18
0.0,GAS_2,Tue-18
165.0,GAS_3,Tue-18
158.0,GAS_4,Tue-18
400.0,COAL_1,Tue-19
544.0,COAL_2,Tue-19
0.0,DIESEL_1,Tue-19
87.0,DIESEL_2,Tue-19
0.0,DIESEL_3,Tue-19
0.0,DIESEL_4,Tue-19
0.0,GAS_1,Tue-19
0.0,GAS_2,Tue-19
165.0,GAS_3,Tue-19
158.0,GAS_4,Tue-19
400.0,COAL_1,Tue-20
552.0,COAL_2,Tue-20
0.0,DIESEL_1,Tue-20
87.0,DIESEL_2,Tue-20
0.0,DIESEL_3,Tue-20
0.0,DIESEL_4,Tue-20
0.0,GAS_1,Tue-20
0.0,GAS_2,Tue-20
165.0,GAS_3,Tue-20
158.0,GAS_4,Tue-20
400.0,COAL_1,Tue-21
546.0,COAL_2,Tue-21
0.0,DIESEL_1,Tue-21
87.0,DIESEL_2,Tue-21
0.0,DIESEL_3,Tue-21
0.0,DIESEL_4,Tue-21
0.0,GAS_1,Tue-21
0.0,GAS_2,Tue-21
165.0,GAS_3,Tue-21
158.0,GAS_4,Tue-21
400.0,COAL_1,Tue-22
524.0,COAL_2,Tue-22
0.0,DIESEL_1,Tue-22
87.0,DIESEL_2,Tue-22
0.0,DIESEL_3,Tue-22
0.0,DIESEL_4,Tue-22
0.0,GAS_1,Tue-22
0.0,GAS_2,Tue-22
165.0,GAS_3,Tue-22
158.0,GAS_4,Tue-22
400.0,COAL_1,Tue-23
500.0,COAL_2,Tue-23
0.0,DIESEL_1,Tue-23
87.0,DIESEL_2,Tue-23
0.0,DIESEL_3,Tue-23
0.0,DIESEL_4,Tue-23
0.0,GAS_1,Tue-23
0.0,GAS_2,Tue-23
165.0,GAS_3,Tue-23
158.0,GAS_4,Tue-23
400.0,COAL_1,Wed-00
439.0,COAL_2,Wed-00
40.0,DIESEL_1,Wed-00
87.0,DIESEL_2,Wed-00
0.0,DIESEL_3,Wed-00
0.0,DIESEL_4,Wed-00
0.0,GAS_1,Wed-00
