id,solutionStartTime,solutionEndTime
WORKORDER_AWRAF/0267_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:50:00.000
WORKORDER_AWRAF/0268_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 07:50:00.000
WORKORDER_AWRB857881001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB857987001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB858668001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB859607001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB859777001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB859804001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB868967001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB869320001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB871356001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB871919001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRB872520001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:00:00.000
WORKORDER_AWRAF/0367_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:12:00.000
WORKORDER_A388AWR-3C-CE000_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:36:00.000
WORKORDER_AWRAF/0383_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:36:00.000
WORKORDER_AWRAV/0182_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 08:39:00.000
WORKORDER_AWRB852706001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB852765001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB853264001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB860799001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB869058001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB869166001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB869179001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB869436001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB869862001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRB871847001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:00:00.000
WORKORDER_AWRAF/0271_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:08:00.000
WORKORDER_AWRAF/0272_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:08:00.000
WORKORDER_AWRAV/0188_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 09:09:00.000
WORKORDER_AWRB853294001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB859789001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB867127001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB867230001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB868471001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB868499001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB869546001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRB875495001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:00:00.000
WORKORDER_AWRAV/0087_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 10:42:00.000
WORKORDER_AWRB851817001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB852782001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB858208001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB859584001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB864832001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
WORKORDER_AWRB866188001_BEDFORD_EAGLENA,2019-04-15 06:00:00.000,2019-04-15 11:00:00.000
