kpi,value
Total Fixed Cost,112840.0
Total Variable Cost,7160890.66667
Total Startup Cost,2351.0
Total Economic Cost,7276081.66667
Total CO2 Cost,4865666.66667
Total Cost,12141748.3333
Total #used,993.0
Total #starts,4.0
Feasibility,1.0
