name,value
NUMBER_OF_SOLUTIONS,1
SOLVE_START_DATE,2019-06-24 12:00:50.493
OBJECTIVE,1232083.33333333
SOLVE_STATUS,SOLUTION_FOUND_IMPROVING
SEARCH_STATUS,SEARCH_ONGOING
CPO_NUMBER_OF_FAILS,1
MODEL_NAME,ibm.maximo.optimization.opas.modeler.OpasScheduler
CPO_TOTAL_SOLVE_TIME,2.66
MODEL_VERSION,0.6-sprintRVT-b190517
CPO_SOLVE_TIME,2.66
CPO_VERSION,12.8.0.0
CPO_NUMBER_OF_VARS,2735
CPO_EFFECTIVE_WORKERS,2
CPO_MEMORY_USAGE,44703122
CPO_EFFECTIVE_OPTIMALITY,1.232083
CPO_NUMBER_OF_SEQUENCE_VARS,0
TIME_ZONE,Etc/UTC
CPO_SEARCH_STOP_CAUSE,SearchHasNotBeenStopped
CPO_NUMBER_OF_INTEGER_VARS,0
CPO_EXTRACTION_TIME,0.47
MODEL_TYPE,CPO_Java
CPO_NUMBER_OF_CONSTRAINTS,5503
CPO_PRESOLVE_TIME,0.41
LANG_CODE,EN
CPO_SEARCH_STATUS,SearchOngoing
CPO_NUMBER_OF_INTERVAL_VARS,2734
COUNTRY_CODE,US
