kpi,value
Total Fixed Cost,119768.0
Total Variable Cost,7415792.0
Total Startup Cost,8265.0
Total Economic Cost,7543825.0
Total CO2 Cost,4797130.0
Total Cost,12340955.0
Total #used,1036.0
Total #starts,11.0
Feasibility,1.0
