value,Units,Periods
0.0,DIESEL_4,Mon-16
"-2.07478478842e-12",GAS_1,Mon-16
52.0,GAS_2,Mon-16
165.0,GAS_3,Mon-16
158.0,GAS_4,Mon-16
300.0,COAL_1,Mon-17
589.0,COAL_2,Mon-17
90.0,DIESEL_1,Mon-17
87.0,DIESEL_2,Mon-17
0.0,DIESEL_3,Mon-17
0.0,DIESEL_4,Mon-17
0.0,GAS_1,Mon-17
0.0,GAS_2,Mon-17
165.0,GAS_3,Mon-17
158.0,GAS_4,Mon-17
300.0,COAL_1,Mon-18
563.0,COAL_2,Mon-18
90.0,DIESEL_1,Mon-18
87.0,DIESEL_2,Mon-18
0.0,DIESEL_3,Mon-18
0.0,DIESEL_4,Mon-18
0.0,GAS_1,Mon-18
0.0,GAS_2,Mon-18
165.0,GAS_3,Mon-18
158.0,GAS_4,Mon-18
300.0,COAL_1,Mon-19
550.0,COAL_2,Mon-19
90.0,DIESEL_1,Mon-19
87.0,DIESEL_2,Mon-19
0.0,DIESEL_3,Mon-19
0.0,DIESEL_4,Mon-19
0.0,GAS_1,Mon-19
0.0,GAS_2,Mon-19
165.0,GAS_3,Mon-19
158.0,GAS_4,Mon-19
300.0,COAL_1,Mon-20
557.0,COAL_2,Mon-20
90.0,DIESEL_1,Mon-20
87.0,DIESEL_2,Mon-20
0.0,DIESEL_3,Mon-20
0.0,DIESEL_4,Mon-20
0.0,GAS_1,Mon-20
0.0,GAS_2,Mon-20
165.0,GAS_3,Mon-20
158.0,GAS_4,Mon-20
300.0,COAL_1,Mon-21
569.0,COAL_2,Mon-21
72.0,DIESEL_1,Mon-21
87.0,DIESEL_2,Mon-21
0.0,DIESEL_3,Mon-21
0.0,DIESEL_4,Mon-21
0.0,GAS_1,Mon-21
0.0,GAS_2,Mon-21
165.0,GAS_3,Mon-21
158.0,GAS_4,Mon-21
300.0,COAL_1,Mon-22
571.0,COAL_2,Mon-22
48.0,DIESEL_1,Mon-22
87.0,DIESEL_2,Mon-22
0.0,DIESEL_3,Mon-22
0.0,DIESEL_4,Mon-22
0.0,GAS_1,Mon-22
0.0,GAS_2,Mon-22
165.0,GAS_3,Mon-22
158.0,GAS_4,Mon-22
300.0,COAL_1,Mon-23
572.0,COAL_2,Mon-23
24.0,DIESEL_1,Mon-23
87.0,DIESEL_2,Mon-23
0.0,DIESEL_3,Mon-23
0.0,DIESEL_4,Mon-23
0.0,GAS_1,Mon-23
0.0,GAS_2,Mon-23
165.0,GAS_3,Mon-23
158.0,GAS_4,Mon-23
300.0,COAL_1,Tue-00
579.0,COAL_2,Tue-00
0.0,DIESEL_1,Tue-00
87.0,DIESEL_2,Tue-00
0.0,DIESEL_3,Tue-00
0.0,DIESEL_4,Tue-00
0.0,GAS_1,Tue-00
0.0,GAS_2,Tue-00
165.0,GAS_3,Tue-00
158.0,GAS_4,Tue-00
300.0,COAL_1,Tue-01
567.0,COAL_2,Tue-01
0.0,DIESEL_1,Tue-01
87.0,DIESEL_2,Tue-01
0.0,DIESEL_3,Tue-01
0.0,DIESEL_4,Tue-01
0.0,GAS_1,Tue-01
0.0,GAS_2,Tue-01
165.0,GAS_3,Tue-01
158.0,GAS_4,Tue-01
300.0,COAL_1,Tue-02
554.0,COAL_2,Tue-02
0.0,DIESEL_1,Tue-02
87.0,DIESEL_2,Tue-02
0.0,DIESEL_3,Tue-02
0.0,DIESEL_4,Tue-02
0.0,GAS_1,Tue-02
0.0,GAS_2,Tue-02
165.0,GAS_3,Tue-02
158.0,GAS_4,Tue-02
300.0,COAL_1,Tue-03
545.0,COAL_2,Tue-03
0.0,DIESEL_1,Tue-03
87.0,DIESEL_2,Tue-03
0.0,DIESEL_3,Tue-03
0.0,DIESEL_4,Tue-03
0.0,GAS_1,Tue-03
0.0,GAS_2,Tue-03
165.0,GAS_3,Tue-03
158.0,GAS_4,Tue-03
300.0,COAL_1,Tue-04
547.0,COAL_2,Tue-04
0.0,DIESEL_1,Tue-04
87.0,DIESEL_2,Tue-04
0.0,DIESEL_3,Tue-04
0.0,DIESEL_4,Tue-04
0.0,GAS_1,Tue-04
0.0,GAS_2,Tue-04
165.0,GAS_3,Tue-04
158.0,GAS_4,Tue-04
300.0,COAL_1,Tue-05
575.0,COAL_2,Tue-05
0.0,DIESEL_1,Tue-05
87.0,DIESEL_2,Tue-05
0.0,DIESEL_3,Tue-05
0.0,DIESEL_4,Tue-05
0.0,GAS_1,Tue-05
0.0,GAS_2,Tue-05
165.0,GAS_3,Tue-05
158.0,GAS_4,Tue-05
300.0,COAL_1,Tue-06
566.0,COAL_2,Tue-06
0.0,DIESEL_1,Tue-06
87.0,DIESEL_2,Tue-06
0.0,DIESEL_3,Tue-06
0.0,DIESEL_4,Tue-06
0.0,GAS_1,Tue-06
52.0,GAS_2,Tue-06
165.0,GAS_3,Tue-06
158.0,GAS_4,Tue-06
300.0,COAL_1,Tue-07
599.0,COAL_2,Tue-07
0.0,DIESEL_1,Tue-07
87.0,DIESEL_2,Tue-07
0.0,DIESEL_3,Tue-07
0.0,DIESEL_4,Tue-07
0.0,GAS_1,Tue-07
52.0,GAS_2,Tue-07
165.0,GAS_3,Tue-07
158.0,GAS_4,Tue-07
300.0,COAL_1,Tue-08
600.0,COAL_2,Tue-08
0.0,DIESEL_1,Tue-08
87.0,DIESEL_2,Tue-08
0.0,DIESEL_3,Tue-08
0.0,DIESEL_4,Tue-08
0.0,GAS_1,Tue-08
84.0,GAS_2,Tue-08
165.0,GAS_3,Tue-08
158.0,GAS_4,Tue-08
300.0,COAL_1,Tue-09
600.0,COAL_2,Tue-09
0.0,DIESEL_1,Tue-09
87.0,DIESEL_2,Tue-09
0.0,DIESEL_3,Tue-09
0.0,DIESEL_4,Tue-09
0.0,GAS_1,Tue-09
107.0,GAS_2,Tue-09
165.0,GAS_3,Tue-09
158.0,GAS_4,Tue-09
300.0,COAL_1,Tue-10
600.0,COAL_2,Tue-10
0.0,DIESEL_1,Tue-10
87.0,DIESEL_2,Tue-10
0.0,DIESEL_3,Tue-10
0.0,DIESEL_4,Tue-10
0.0,GAS_1,Tue-10
126.0,GAS_2,Tue-10
165.0,GAS_3,Tue-10
158.0,GAS_4,Tue-10
300.0,COAL_1,Tue-11
600.0,COAL_2,Tue-11
0.0,DIESEL_1,Tue-11
87.0,DIESEL_2,Tue-11
0.0,DIESEL_3,Tue-11
0.0,DIESEL_4,Tue-11
0.0,GAS_1,Tue-11
130.0,GAS_2,Tue-11
165.0,GAS_3,Tue-11
158.0,GAS_4,Tue-11
300.0,COAL_1,Tue-12
600.0,COAL_2,Tue-12
0.0,DIESEL_1,Tue-12
87.0,DIESEL_2,Tue-12
0.0,DIESEL_3,Tue-12
2.27373675443e-13,DIESEL_4,Tue-12
0.0,GAS_1,Tue-12
122.0,GAS_2,Tue-12
165.0,GAS_3,Tue-12
158.0,GAS_4,Tue-12
300.0,COAL_1,Tue-13
600.0,COAL_2,Tue-13
0.0,DIESEL_1,Tue-13
87.0,DIESEL_2,Tue-13
0.0,DIESEL_3,Tue-13
0.0,DIESEL_4,Tue-13
0.0,GAS_1,Tue-13
124.0,GAS_2,Tue-13
165.0,GAS_3,Tue-13
158.0,GAS_4,Tue-13
300.0,COAL_1,Tue-14
600.0,COAL_2,Tue-14
0.0,DIESEL_1,Tue-14
87.0,DIESEL_2,Tue-14
0.0,DIESEL_3,Tue-14
0.0,DIESEL_4,Tue-14
0.0,GAS_1,Tue-14
122.0,GAS_2,Tue-14
165.0,GAS_3,Tue-14
158.0,GAS_4,Tue-14
300.0,COAL_1,Tue-15
600.0,COAL_2,Tue-15
0.0,DIESEL_1,Tue-15
